dada2_input	filtered	dada_f	dada_r	merged	nonchim	final_perc_reads_retained
ZT01_F36_S3_W17	89381	88005	87951	87934	87885	87308	97.7
ZT01_F36_S4_W17	4796	4723	4667	4702	4655	4299	89.6
ZT01_F37_S3_W17	62312	61470	61379	61396	61310	59900	96.1
ZT01_F37_S4_W17	63425	62345	62212	62210	62089	59112	93.2
ZT01_F38_S3_W17	34845	33953	33884	33929	33863	32572	93.5
ZT01_F38_S4_W17	175656	171240	171000	171018	170796	162923	92.8
ZT01_F39_S3_W17	10136	9855	9845	9826	9820	9672	95.4
ZT01_F39_S4_W17	17837	17621	17513	17575	17483	17019	95.4
ZT01_F40_S3_W17	19684	19032	19008	18974	18956	18385	93.4
ZT01_F40_S4_W17	32969	32189	32111	32136	32069	31134	94.4
