name,mz,rt,CTRL-T01_F01,CTRL-T01_F01_2,CTRL-T01_F04,CTRL-T01_F04_2,CTRL-T01_F05,CTRL-T01_F05_2,CTRL-T01_F11,CTRL-T01_F11_2,CTRL-T01_F15,CTRL-T01_F15_2,CTRL-T01_F17,CTRL-T01_F17_2,CTRL-T01_F23,CTRL-T01_F23_2,CTRL-T01_F26,CTRL-T01_F26_2,CTRL-T01_F33,CTRL-T01_F33_2,CTRL-T01_F38,CTRL-T01_F38_2,PRO-T01_F02,PRO-T01_F02_2,PRO-T01_F07,PRO-T01_F07_2,PRO-T01_F08,PRO-T01_F08_2,PRO-T01_F17,PRO-T01_F17_2,PRO-T01_F19,PRO-T01_F19_2,PRO-T01_F20,PRO-T01_F20_2,PRO-T01_F28,PRO-T01_F28_2,PRO-T01_F31,PRO-T01_F31_2,PRO-T01_F35,PRO-T01_F35_2,PRO-T01_F39,PRO-T01_F39_2,SYN-T01_F01,SYN-T01_F01_2,SYN-T01_F02,SYN-T01_F02_2,SYN-T01_F09,SYN-T01_F09_2,SYN-T01_F12,SYN-T01_F12_2,SYN-T01_F17,SYN-T01_F17_2,SYN-T01_F22,SYN-T01_F22_2,SYN-T01_F31,SYN-T01_F31_2,SYN-T01_F33,SYN-T01_F33_2,SYN-T01_F35,SYN-T01_F35_2,SYN-T01_F37,SYN-T01_F37_2
37151,199.152,508.842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004120,0,0,0,0,0,0,1414640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1278310,0,0,0,0,0,0,0,0,0
61170,199.148,514.7006,8582380,207921890,9260060,14140730,58163790,28603772,11883600,15435080,172891410,170406550,220354670,85342060,9319000,15098610,39165267,109838000,22352930,49978340,12740070,12047110,80103090,171555240,25677810,18896150,24388870,19961400,297979920,192016990,26658210,20011410,1004048430,470545730,118124360,33052340,13535430,19676000,199667480,282830190,364198420,99853040,131309180,209716230,29142400,60410610,63751740,34653470,68816420,50603120,65086324,28733620,92656930,11914980,34939730,143823330,13025790,58078980,24491550,22704010,8041320,13793090
60156,199.169,902.959,12155520,35618880,11707719,11918380,2895940,9710237,3830880,23234920,7862480,8811950,18306730,14289400,18005140,7184460,15868110,25294380,13346450,12848199,8768640,9410960,35321913,31428381,13406600,8130970,3425242,12850280,16901133,3853260,5339940,20357560,3449570,7521810,6000750,2769480,8875040,8676450,6478970,1385310,8119080,6094657,6320546,3886780,4847090,4829240,7280279,10845748,11283310,21243920,10961090,5268820,19968060,5511340,4383330,4816470,7340410,15610440,9448290,9963910,6925880,3923320
16334,199.169,951.8473333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1345440,0,1413260,0,0,0,0,0,0,0,0,0,0,0,0
137987,199.169,1006.797474,0,2233880,0,0,3772900,2758120,0,0,0,0,3140250,0,2286980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2591260,0,0,0,2496620,0,0,2241480,0,2946640,0,0,0,0,0,0,0,0,0
51377,199.169,718.44475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15510000,0,0,0,0,0,0,0,0,0,0,0,0,0
11716,199.169,776.7550588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11009,199.169,841.1586667,0,0,0,0,0,0,2594530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2538610,0,0,0,0,0
97729,199.169,851.797,68483300,54098500,39795600,54970600,0,38726100,94170500,99329200,0,0,61004400,34994500,55266400,41761200,97201000,157469400,0,79591200,44864500,0,70908400,0,222383300,184276200,553323800,113628800,213031600,168589600,138579200,80314100,74170300,86222200,0,71286900,123358900,129449000,0,26164700,0,127040800,64690100,190016200,64557900,144234900,151054000,0,160881200,131899400,137327000,56284500,92675500,282256000,75576000,27266600,48707800,310178600,179887700,0,58284800,158497200
36203,199.173,654.1529,0,0,0,0,0,0,0,1879280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1085670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95857,199.169,1003.3015,0,0,0,0,3741090,0,0,0,1883960,2415950,2986550,0,1457970,0,2563130,0,1561670,1501890,0,0,1966110,2863810,2463740,1508380,1888730,4045440,0,0,1397910,1952460,0,0,1748110,4781000,0,0,0,0,2457010,1764720,0,0,0,0,0,3419300,1088550,5506100,2646360,2407480,0,0,0,0,0,0,0,0,1178200,1870740
150599,199.169,426.6525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1196980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2217,199.169,985.71025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,872356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38341,199.169,713.9924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2662950,0,0,0,0,0,0,0
29558,199.169,1023.81,0,0,0,0,0,0,0,0,0,0,0,1336940,0,0,0,2105160,0,0,0,3785252,0,0,0,0,0,0,4063950,1543120,0,0,0,0,0,0,0,1731590,3960000,0,0,0,0,0,0,0,0,0,0,0,0,0,4725280,1426830,0,2485410,1217230,0,2939670,0,0,0
96770,199.169,694.8353333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6013360,4886100,0,0,0,0
25741,199.174,754.46075,2574502,3731800,2852586,5292700,3304250,0,3598940,1912940,0,8475186,869822,0,11631090,2668810,3065490,5472160,2398040,0,0,0,4234420,8376609,3135470,9451610,3623917,0,4349640,7553640,3381890,0,8555710,7391140,4522160,7521170,10397050,6897800,13618500,4954550,5470200,5221910,2771460,5461590,10118890,11950570,5594480,5070900,3695238,2995890,3770890,3990700,4642780,6269980,5779630,3668550,6873840,4164030,3822130,3271350,6519220,7323700
148533,199.169,1035.586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1537530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1399370,1312550,0,1890010,0,0,0,0,0,0,0,0,0,0
48197,199.169,797.4753333,0,0,0,0,0,0,0,0,0,0,10280300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10944900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113334,199.169,789.1005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695879,563068,0,0,0,0,0,0,0,0,665884,402168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94823,199.169,1000.1085,0,0,0,0,4810190,1648600,1136900,0,1951990,2807740,0,0,7660920,0,6375890,2610910,2474960,0,2128820,0,4229950,4061130,0,7836490,0,0,2439600,5730000,2473840,2161450,4249230,3719860,3509510,10197820,0,1828540,3505050,1608170,0,0,0,0,6653360,0,0,3163750,4855440,0,2252930,7990240,0,0,2117740,0,0,0,0,0,0,1694820
122320,199.18,981.5237692,0,0,1769140,0,0,2315070,0,0,0,0,0,0,3312440,0,0,2670090,0,0,0,0,0,0,0,0,0,0,0,4421070,0,0,0,0,0,0,0,0,0,0,1867730,0,1295020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1171660,1261560
65547,199.169,760.1057143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4566130,0,0,0,0,0,0,0,0,0,0,0,0,0,5230520,0,0,0,0,0,0,0,0,0,0,0,0,0
4623,199.169,608.5914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1501570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15019,199.169,1141.518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2271420,2558340,0,0,0,0,0,0,0,0,0,0,2526450,0,0,0,2301500,0,0,0,0,0,3908890,3209500
130389,199.169,634.063,0,0,0,0,0,2513060,0,0,0,0,0,0,0,0,0,2713760,0,0,0,0,2543010,3245740,4226060,1971740,3434130,4359300,3081830,7349980,1691500,2771910,0,0,2458230,1999820,2577350,2377700,0,0,3258770,2261920,0,0,0,0,0,4048170,2252850,5108240,2372980,2438230,2193300,3413260,3695480,1880680,2079890,1814300,3336580,3604430,0,0
112231,199.172,618.652,0,0,0,0,0,0,3073200,0,0,0,0,0,0,0,0,0,2840120,0,0,1883460,5747550,0,0,5626830,6644070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2450190,0,0,5236250,0,0
117701,199.169,794.5745,3784940,0,4843270,0,0,0,0,0,0,0,0,0,0,1803210,27802700,0,0,0,0,3819080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6321180,0,0,0,0,0,0,0,0,0,11756650,0,0,0,0,0,0,2290140,0,0,0,0,0,0,0,0
32703,199.169,977.0545,0,0,0,0,0,2269910,0,0,10502900,3902970,0,0,0,0,0,0,0,3763910,0,0,0,0,0,0,0,0,0,0,0,3246660,0,0,0,0,0,0,0,3478140,0,0,0,0,0,0,0,0,0,4334850,0,0,0,0,0,0,0,0,0,0,0,0
47263,199.169,814.096,0,0,0,0,0,3363170,0,0,3480750,0,0,0,0,0,0,0,0,0,0,0,0,0,3194410,2660320,0,0,0,0,0,0,0,0,4470030,3856950,0,0,2585940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5968810,2362390
142507,199.179,1131.6675,0,0,0,0,0,0,0,0,20402700,0,0,0,0,0,0,0,0,40096400,0,0,5190680,0,0,0,0,0,0,0,25278900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3022,199.169,1037.6885,16437500,14666800,0,5932170,2520010,27251820,5404050,10874500,34244380,24856960,13272300,10014400,6685360,0,30874230,17520340,27141300,11813600,9082750,0,9774260,10464400,17444500,3139100,17124100,33751680,0,0,26566640,24206500,19467390,16917550,40050370,17036900,0,0,14915900,21928400,7154200,33821510,30437500,0,44619530,0,0,15071700,33840650,30413740,26151200,32969490,31349690,0,23062460,35685370,6426480,0,10848400,0,33407810,23189410
147136,199.169,451.8555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1798459,6381539,2688324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122021,199.169,1029.35,7992620,7512270,7994640,6035560,0,3573460,10727810,4424570,7542590,7223110,3189100,3372550,0,2056910,3880230,7215710,5545140,6351860,5537000,0,2979430,3687540,2415380,2322000,3379020,3527570,3873240,8041860,0,2790470,0,0,2219120,4231690,0,0,1511050,0,6288640,0,0,0,0,0,0,0,2618970,6812070,0,5715530,0,3216650,3806950,0,0,0,2565730,4640520,0,3311320
